Rating,Company Name,Location,Industry,Sector,job_simp,seniority,avg_salary,Size_Upper,Age,Ownership,Revenue_Upper
4.2,Boston Consulting Group,Gurgaon,Business consulting,Management and consulting,data scientist,senior,750000.0,large,61.0,private,med
3.8,Expedia Partner Solutions,Gurgaon,Internet & Web Services,Information Technology,ML engineer,senior,900000.0,large,28.0,publlic,med
3.9,Barclays,Chennai,Banking & Lending,Finance,data scientist,Unknown,950000.0,large,334.0,publlic,high
,Excellent Opportunity,Remote,Unknown,Unknown,data scientist,Unknown,3050000.0,Unknown,,Unknown,Unknown
,IPCS Global solutions pvt ltd,India,Unknown,Unknown,Unknown,Unknown,126000.0,Unknown,,Unknown,Unknown
4.6,Innovecture,Pune,Information Technology Support Services,Information Technology,data scientist,Unknown,400000.0,med,17.0,private,low
4.1,S&P Global,Gurgaon,Research and development,Management and consulting,data scientist,Unknown,950000.0,large,164.0,publlic,high
4.6,Innovecture,Pune,Information Technology Support Services,Information Technology,data analyst,Unknown,400000.0,med,17.0,private,low
,Indicraft Vintage Private Limited,Remote,Unknown,Unknown,data analyst,Unknown,900000.0,Unknown,,Unknown,Unknown
4.0,Applied Materials,Bengaluru,Electronics Manufacturing,Manufacturing,data scientist,Unknown,500000.0,large,57.0,publlic,high
3.9,Blackcoffer (OPC) Pvt. Ltd,Remote,unknown,unknown,data scientist,Unknown,120000.0,low,,Unknown,Unknown
4.5,AIBridge ML,Hyderābād,Computer Hardware Development,Information Technology,data scientist,junior,300000.0,low,5.0,private,Unknown
3.5,WAHY LAB SOLUTIONS,Cochin,unknown,unknown,data scientist,Unknown,400000.0,Unknown,,private,Unknown
4.2,Boston Consulting Group,Gurgaon,Business consulting,Management and consulting,data scientist,senior,750000.0,large,61.0,private,med
3.8,Expedia Partner Solutions,Gurgaon,Internet & Web Services,Information Technology,ML engineer,senior,900000.0,large,28.0,publlic,med
3.9,Barclays,Chennai,Banking & Lending,Finance,data scientist,Unknown,950000.0,large,334.0,publlic,high
,Excellent Opportunity,Remote,Unknown,Unknown,data scientist,Unknown,3050000.0,Unknown,,Unknown,Unknown
4.2,Boston Consulting Group,Gurgaon,Business consulting,Management and consulting,Unknown,Unknown,650000.0,large,61.0,private,med
,objectways,Coimbatore,Unknown,Unknown,manager,Unknown,400000.0,Unknown,,Unknown,Unknown
,IPCS Global solutions pvt ltd,India,Unknown,Unknown,Unknown,Unknown,126000.0,Unknown,,Unknown,Unknown
4.6,Innovecture,Pune,Information Technology Support Services,Information Technology,data scientist,Unknown,400000.0,med,17.0,private,low
,Accusaga,India,Unknown,Unknown,data scientist,Unknown,1200000.0,Unknown,,Unknown,Unknown
