Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Type of ownership,Industry,Sector,job_simp,seniority,avg_salary,ml_yn,dl_yn,ai_yn,python_yn,sql_yn,tool_yn,cloud_yn,Size_Upper,Age,Revenue_Upper
"Lead Data Scientist, India - BCG X",6*100000 – 9*100000 ,"Locations: Mumbai | Gurgaon
Who We Are
Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.",4.2,Boston Consulting Group,Gurgaon,Company - Private,Business consulting,Management and consulting,data scientist,senior,1500000.0,0,0,0,0,0,0,0,10000   ,61.0,10 000
Senior Machine Learning Engineer,8*100000 – 10*100000 ,"If you need assistance during the recruiting process due to a disability, please reach out to our Recruiting Accommodations Team through the Accommodation Request form. This form is used only by individuals with disabilities who require assistance or adjustments in applying and interviewing for a job. This form is not for inquiring about a position or the status of an application.
Senior Machine Learning Engineer
Are you fascinated by machine learning and building robust machine learning pipelines which process massive amounts of data at scale and speed to provide crucial insights to the end consumers?
This is exactly what we, the Machine Learning Engineering group in Expedia, do. Our mission is to partner with our Machine Learning Science counterparts to use AI/ML to collaboratively transform Expedia’s data assets into intelligent and real-time insights to support a variety of applications which are used by 1000+ market managers, analysts, our supply partners, and our travelers. Our work spans across a variety of datasets and ML models and across a diverse technology stack ranging from PySpark, Java/Scala, Spark, Airflow, Databricks, Kubernetes, AWS and much more!

Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age.",3.8,Expedia Partner Solutions,Gurgaon,Company - Public,Internet & Web Services,Information Technology,mle,senior,1800000.0,1,0,0,0,0,0,0,10000   ,28.0,10 000
Data Scientist,9*100000 – 10*100000 ,".
Purpose of the role
To use innovative data analytics and machine learning techniques to extract valuable insights from the bank's data reserves, leveraging these insights to inform strategic decision-making, improve operational efficiency, and drive innovation across the organisation.
Accountabilities
Identification, collection, extraction of data from various sources, including internal and external sources.
Performing data cleaning, wrangling, and transformation to ensure its quality and suitability for analysis.",3.9,Barclays,Chennai,Company - Public,Banking & Lending,Finance,data scientist,na,1900000.0,1,0,0,0,0,0,0,10000   ,334.0,10 000 
Python Data Scientist/Analyst,25*100000 – 36*100000 ,"Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 2 years of relevant experience as a data scientist
2+ years of data analysis experience and a desire to have a significant impact on the field of artificial intelligence
2+ years of experience working with Python programming.
Fluent in conversational and written English communication skills.
Contract Length: 6-12 months
Notice Period: 2 weeks
Work Hours: 5 hours overlap with PST time zone
Standard work hours are 8 AM PST - 4 PM PST.
Job Type: Full-time",,Excellent Opportunity,Remote,,,,data scientist,na,6100000.0,0,0,0,1,0,0,0,,,
Python & Data Science Trainer,12*1000 – 20*1000*12 ,"Responsible for delivering workshops & training programs, module preparation, queries handling of students
Planning, Coordinating and Consulting on the new technologies
Understanding the architecture, feasibility study and giving technical presentation.
Designing new courses and programs for training students
Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine learning
Training of candidates in Machine Learning and Deep Learning algorithms
Training of candidates in tools like R / Python/Java for frontend & Backend tech.
Train the students in Python base packages as Numpy, Pandas, Scikit learn, Seaborn & MatplotLib",,IPCS Global solutions pvt ltd,India,,,,na,na,252000.0,1,1,0,1,0,0,0,,,
Junior Data Scientist,4*100000 ,"About Innovecture:
Founded in 2007 under the leadership of CEO Shreyas Kamat, Innovecture LLC, began as a U.S.-based Information Technology and Management Consulting Company focusing on technology consulting and services. With international development centers located in Salt Lake City, USA, and Pune, India, Innovecture leverages its Global Agile Delivery Model to effectively deliver client projects within budget scope and project deadline. The primary focus of Innovecture is to provide a unique wealth of expertise and experience to the IT and Management Consulting realm by utilizing various technologies across multiple industry domains. Innovecture uses best-in-class design processes and top-quality talent to ensure the highest quality deliverables. With innovation embedded in its consulting and services approach, Innovecture will continue to deliver outstanding results for its Fortune 500 clients and employees.",4.6,Innovecture,Pune,Company - Private,Information Technology Support Services,Information Technology,data scientist,na,400000.0,0,0,0,0,0,0,0,200,17.0,25
Junior Data Scientist,9*100000 – 10*100000 ,"About the Role:
Grade Level (for internal use): 10
The Role: Junior Data Scientist.

The Team: We are a highly motivated team that provides metrics and insights to internal business partners and senior leadership. Our expertise lies in making siloed data interoperable, enabling seamless access to information across departments. By delivering deeper-level analytics, we empower decision-makers with the insights needed to drive strategic initiatives.

The Impact: Our team plays a crucial role in transforming siloed data into actionable insights. By providing comprehensive analytics, we enable informed decision-making that drives strategic growth and innovation across the organization. Ultimately, our contributions foster a data-driven culture that enhances collaboration and improves overall business performance.




Gurugram, India

About S&P Global Market Intelligence

At S&P Global Market Intelligence, a division of S&P Global we understand the importance of accurate, deep and insightful information. Our team of experts delivers unrivaled insights and leading data and technology solutions, partnering with customers to expand their perspective, operate with confidence, and make decisions with conviction.

For more information, visit www.spglobal.com/marketintelligence .

What’s In It For You?


Progress is not a self-starter. It requires a catalyst to be set in motion. Information, imagination, people, technology–the right combination can unlock possibility and change the world.

Our world is in transition and getting more complex by the day. We push past expected observations and seek out new levels of understanding so that we can help companies, governments and individuals make an impact on tomorrow. At S&P Global we transform data into Essential Intelligence®, pinpointing risks and opening possibilities. We Accelerate Progress.


We're more than 35,000 strong worldwide—so we're able to understand nuances while having a broad perspective. Our team is driven by curiosity and a shared belief that Essential Intelligence can help build a more prosperous future for us all.

From finding new ways to measure sustainability to analyzing energy transition across the supply chain to building workflow solutions that make it easy to tap into insight and apply it. We are changing the way people see things and empowering them to make an impact on the world we live in. We’re committed to a more equitable future and to helping our customers find new, sustainable ways of doing business. We’re constantly seeking new solutions that have progress in mind. Join us and help create the critical insights that truly make a difference.


Integrity, Discovery, Partnership

At S&P Global, we focus on Powering Global Markets. Throughout our history, the world's leading organizations have relied on us for the Essential Intelligence they need to make confident decisions about the road ahead. We start with a foundation of integrity in all we do, bring a spirit of discovery to our work, and collaborate in close partnership with each other and our customers to achieve shared goals.


We take care of you, so you can take care of business. We care about our people. That’s why we provide everything you—and your career—need to thrive at S&P Global.


Health care coverage designed for the mind and body.

Generous time off helps keep you energized for your time on.

Access a wealth of resources to grow your career and learn valuable new skills.

Secure your financial future through competitive pay, retirement planning, a continuing education program with a company-matched student loan contribution, and financial wellness programs.

It’s not just about you. S&P Global has perks for your partners and little ones, too, with some best-in class benefits for families.

From retail discounts to referral incentive awards—small perks can make a big difference.
https://spgbenefits.com/benefit-summaries


At S&P Global, we believe diversity fuels creative insights, equity unlocks opportunity, and inclusion drives growth and innovation – Powering Global Markets. Our commitment centers on our global workforce, ensuring that our people are empowered to bring their whole selves to work. It doesn’t stop there, we strive to better reflect and serve the communities in which we live and work, and advocate for greater opportunity for all.

-----------------------------------------------------------

Equal Opportunity Employer
S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.

The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

----------------------------------------------------------- 20 - Professional (EEO-2 Job Categories-United States of America), ANLYTC202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)

305353
2024-08-30
Gurgaon, Haryana, India",4.1,S&P Global,Gurgaon,Company - Public,Research and development,Management and consulting,data scientist,na,1900000.0,0,0,0,0,0,0,0,10000   ,164.0,10 000 
Data Analyst,3*100000 – 5*100000 ,"About Innovecture:
Founded in 2007 under the leadership of CEO Shreyas Kamat, Innovecture LLC, began as a U.S.-based Information Technology and Management Consulting Company focusing on technology consulting and services. With international development centers located in Salt Lake City, USA, and Pune, India, Innovecture leverages its
Global Agile Delivery Model to effectively deliver client projects within budget scope and project deadline. The primary focus of Innovecture is to provide a unique wealth of expertise and experience to the IT and Management Consulting realm by utilizing various technologies across multiple industry domains. Innovecture uses best-in-class design processes and top-quality talent to ensure the highest quality deliverables. With innovation embedded in its consulting and services approach, Innovecture will continue to deliver outstanding results for its Fortune 500 clients and employees.",4.6,Innovecture,Pune,Company - Private,Information Technology Support Services,Information Technology,analyst,na,800000.0,0,0,0,0,0,0,0,200,17.0,25
Data Analyst,8*100000 – 10*100000 ,"About Indicraft Vintage:
Indicraft Vintage is a e-commerce startup company specializing in curated vintage and artisanal products. Our mission is to provide unique, high-quality items that celebrate craftsmanship and history while delivering an exceptional customer experience. As a remote-first company, we are committed to fostering a collaborative and innovative work environment that supports flexibility and work-life balance.
Position Overview:
We are seeking a detail-oriented and proactive Data Analyst to join our remote team. The ideal candidate will have a strong background in data analysis, a passion for uncovering insights from complex datasets, and the ability to translate findings into actionable strategies. As a Data Analyst at Indicraft Vintage, you will work closely with various teams to drive data-informed decisions and support our business growth.",,Indicraft Vintage Private Limited,Remote,,,,analyst,na,1800000.0,0,0,0,0,0,0,0,,,
Data Scientist,5*100000 ,"Key Responsibilities
Develops code for moderately difficult software projects. Design and implement bug fixes.
Designs moderately difficult software projects.
Develops software documentation.
Troubleshoots a variety of moderately difficult software problems. Performs software tests on code and enhancements. Defines software specifications.
Interfaces with external customers regarding software issues
Interfaces with internal customers for requirements analysis and schedule.
Compiles data for regularly scheduled or special reports, analysis and statements.
Functional Knowledge
Bachelor's Degree
2 - 4 Years
Full time
Assignee / Regular
Yes, 10% of the Time
Yes",4.0,Applied Materials,Bengaluru,Company - Public,Electronics Manufacturing,Manufacturing,data scientist,na,500000.0,0,0,0,0,0,0,0,10000   ,57.0,10 000 
