Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Manager Data Scientist,,"We are seeking a highly skilled and experienced Associate Manager in Data Science to lead our team based in Bangalore. As an Associate Manager, you will play a critical role in driving the success of our Data Science projects, leading a team of data scientists, and delivering business needs. The ideal candidate will have 4 to 8 years of experience in Data Science, AI/ML, and a solid background in leading teams, interacting with business stakeholders, and delivering production-grade AI/ML projects. Candidate should have solid understanding of mathematical and statistical concepts and well-versed with bias/fairness testing and responsible use of AI/ML. Experience in the US Healthcare domain, knowledge of Big Data and data streaming technologies are is desirable.
Primary Responsibilities:
Lead a team of data scientists, providing mentorship, guidance, and technical expertise
Interact with business stakeholders to understand their AI/ML requirements and translate them into actionable projects
Collaborate with cross-functional teams to define project goals, scope, and deliverables
Utilize your expertise in Python, pandas, numpy, and SQL to develop AI/ML solutions
Apply frameworks such as Scikit Learn, TensorFlow, and PyTorch to build and deploy models
Conduct exploratory data analysis (EDA), statistical analysis, and feature engineering to derive insights
Build, tune, and evaluate machine learning models for predictive and prescriptive analytics
Perform drift analysis and ensure the responsible use of AI/ML by considering bias and fairness testing
Oversee the full life cycle of AI/ML projects, including data preparation, model development, tuning, and deployment
Ensure the scalability, reliability, and efficiency of AI/ML solutions in production environments
Stay updated with the latest advancements in AI/ML techniques and tools, and identify opportunities to apply them to enhance existing solutions
Document and communicate findings, methodologies, and insights to technical and non-technical stakeholders
Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so
Required Qualifications:
Bachelor's or Master's degree in Computer Science, Data Science, Statistics, or a related field
4+ years of experience in Data Science, AI/ML, or a similar role
Experience in leading a team of data scientists
Hands-on experience in delivering production-grade AI/ML projects
Knowledge of the full life cycle of AI/ML projects, including EDA, model development, tuning, and drift analysis
In-depth understanding & extensive experiencing with Transformers, RAG, Vector DB and Large Language Models
Understanding of bias/fairness testing and responsible use of AI/ML
Proficiency in frameworks such as Scikit Learn, TensorFlow, and PyTorch
Solid programming skills in Python, with experience in pandas, numpy, and SQL
Solid understanding of mathematical and statistical concepts
Proven excellent leadership, problem-solving, and analytical thinking skills
Proven solid communication and collaboration skills to work effectively with business stakeholders and cross-functional teams
Preferred Qualifications:
Experience with Big Data technologies (PySpark, Hadoop) and data streaming tools (Kafka, etc.)
Familiarity with the US Healthcare domain
At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone–of every race, gender, sexuality, age, location and income–deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes — an enterprise priority reflected in our mission.
Job Type: Full-time
Application Question(s):
Please mention your current CTC.
Please mention your expected CTC.
Please share your Notice Period.
Please mention your preferred location.
Experience:
Python, with experience in pandas, numpy, and SQL?: 5 years (Required)
Data Science, AI/ML, or a similar role?: 2 years (Required)",,Optum,Bengaluru,,,,,,
"Lead Data Scientist, India - BCG X",₹6L – ₹9L/yr (Glassdoor est.),"Locations: Mumbai | Gurgaon
Who We Are
Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.",4.2,Boston Consulting Group,Gurgaon,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)
Global Data Scientist Senior Manager,,"WHAT YOU'LL DO

As part of the Digital product organization of BCG you will pioneer boundaries in technology and innovation. You will play a pivotal role in harnessing the power of data, analytics and data science to drive strategic decisions, fostering innovation, and providing powerful insights to steer the company towards success. Positioned at the heart of our global operations, you will be part of a dynamic team in the pursuit of analytical excellence, turning complex data into actionable insights that shape BCG’s future.

As a Global Data Scientist Senior Manager at BCG, you will play a crucial role in leading digital innovation and building analytical solutions and products that empower BCG leadership to make strategic, data-driven decisions. This role will be hosted in AI Center of Excellence and individual will be embedded within the Global Business Intelligence & Analytics team, you will collaborate closely with product owners and stakeholders to creatively solve BCG’s most challenging problems, bringing to life business-critical analytics at scale. The ideal candidate will have outstanding hands-on experience, exceptional collaborative spirit, excellent leadership and communication skills, a detail-oriented and can-do mindset, and robust understanding of business matters.







Our data analytics and artifical intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative solutions that help our clients tackle their most pressing issues. We design algorithms and build complex models out of large amounts of data.",4.2,Boston Consulting Group,Delhi,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)
Sr AI/ML Engineer,,"OptumAI is looking for a Senior Machine Learning Engineer with deep subject matter expertise in text processing, NLU and SLU (Natural language understanding and Spoken Language Understanding) who will be part of a team leading the technical development and inventions that allow Optum machine learning products drive positive impact in the healthcare business.
Your expertise will bring business and industry context to science and technology decisions. As part of the OptumAI AI/ML engineering group, you set the standard for scientific excellence and make decisions that affect the way we build and integrate algorithms. Your code, designs and documents are exemplary and are used as references across the organization.
A successful candidate is a hands-on AI/ML engineering expert that will tackle intrinsically hard problems, acquiring expertise as needed. The candidate will help decompose complex problems into straightforward solutions.
Primary Responsibilities:
Help design and develop the next generation of NLP, ML & AI products, and services for healthcare
Develop machine learning and deep learning models and systems in domains including, but not limited to: NLP, NLU, NLG, SLU and multidimensional time series forecasting among others
Ability to Quantize, Optimize GenAI models
Manage NLP & ML models lifecycle for a suite of products
Run large complex proof-of-concepts for the healthcare business
Manage prioritization and technology work for building NLP, ML & AI solutions
Lead the full end-to-end machine learning development process including data ingestion and preparation, feature engineering, analysis and modeling, model deployment, performance tracking and documentation
Establish best practices for end-to-end deep learning and machine learning development cycle to ensure rigor in process and quality in outcome
Work with a great deal of autonomy to find solutions to complex problems
Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so
Required Qualifications:
Master’s in computer science, Statistics, Electrical Engineering, or another quantitative field
7+ years of industry/academic experience in data science, machine learning or a related field
5+ years of experience with Machine Learning and Deep Learning modeling
3+ years of experience with Deep Learning Frameworks and Distributed training
2+ years of experience applying computational algorithms and statistical methods to both structured and unstructured data.
1+ years of experience in GenAI models
Exposure in RAG, LangChain, VectorDBs
Proven excellent communication, writing and presentation skills
Preferred Qualifications:
MTech/PhD in Computer Science, Statistics, Electrical Engineering, or another quantitative field
Experience in the health care industry
Mentors and trains scientists on complex technical issues
Significant experience in deploying scalable solutions to complex problems, from defining the problem, implementing the solution, and launching the new product successfully
At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone–of every race, gender, sexuality, age, location and income–deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes — an enterprise priority reflected in our mission.
Job Type: Full-time
Application Question(s):
Do you have experience in Public Cloud ?
Have you completed atleast 1 project in Gen AI?
Please mention your current CTC.
Please mention your expected CTC.
Please share your NP.
Please mention your preferred location.
Experience:
Generative AI: 5 years (Required)
Python , Deep Learning and Machine Learning ?: 5 years (Required)",,Optum,Haryāna,,,,,,
Principal AI or ML Engineer,,"As the Principal AI/ML Engineer, you will be responsible for the development and execution of the vision for enabling Generative AI based solutions on United AI Studio (enterprise ML platform). As a thought leader, you will establish guidance on how to use and implement Generative AI in compliance with enterprise standards. As an AI/ML engineering leader, you will enable the usage via preferred services, playbooks on United AI Studio. As a subject matter expert, you will work closely with other engineering teams and leaders to drive the adoption of Generative AI in healthcare solutions delivery.
Primary Responsibilities:
Develop and execute the vision for Generative AI services enablement and solution delivery on United AI Studio (enterprise ML platform) to enable thousands of developers to build their own applications
Stay up to date with latest Generative AI technologies and literature recommending solutions to improve business goals
Create and manage best practices for us of Generative AI that will ensure secure, consistent, and efficient use of resources across the UHG enterprise
Evangelize the benefits of generative AI through proofs-of-concept and demos to drive adoption for employees and functional roles across the UHG enterprise including technology, operations, marketing, legal, compliance, people team, internal infrastructure, and more
Mentor AI/ML entering teams in both understanding the details of ML literature to ensuring the delivery of AI/ML projects
Collaborate with cross-functional teams to determine applicability of AI to business problems.
Closely collaborate with the Responsible Use of AI (RUAI) team to ensure that the delivered solutions are compliant with the company policies and standards
Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so
Required Qualifications:
Bachelor’s degree in computer science, Math, Statistics, or a related STEM field with equivalent experience
10+ years of experience in a technical engineering role including 5+ years focused on AI/ML solutions delivery
Demonstrated experience leading and implementing AI/ML projects from ideation to delivery and evaluation
Working knowledge of Software Development tools and practices including DevOps and CI/CD tools (Git, Jenkins, Docker, Kubernetes, etc.)
Demonstrable proficiency in cloud platforms and services (Azure, AWS, GCP, etc.)
Demonstrable proficiency in Gen AI solution pipeline engineering, RAG, Evaluations
Demonstrable proficiency in Large Language Modeling and Transformer Architectures (BERT, GPT, etc.)
Demonstrable proficiency in AI/ML engineering systems with Python
Demonstrable proficiency of AI/ML frameworks and tools (MLFlow, TensorFLow, PyTorch, JAX)
Proven excellent communication, presentation, and interpersonal skills, with the ability to explain complex AI/ML concept and results to technical and non-technical audiences
Preferred Qualifications:
Master’s in computer science, Mathematics, Statistics, or a related STEM discipline
Experience in healthcare (AI)
Experience working with cross-functional and distributed teams in a global and diverse environment
Experience in mentoring and coaching AI/ML talent
Experience in establishing AI/ML best practices, standards, and ethics
A proven track record of delivering high-impact AI/ML solutions for real-world problems and use cases
A portfolio of AI/ML publications, patents, or awards
Demonstrated superior written and verbal presentation skills with a wide range of size and types of audiences including executive leadership
Careers with Optum
Here's the idea. We built an entire organization around one giant objective; make the health system work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.SM
Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.
UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.
Job Type: Full-time
Schedule:
Night shift
Rotational shift
US shift
Application Question(s):
Do you have experience in Public Cloud ?
How many projects in Gen AI ?
Please mention your current CTC.
Please mention your expected CTC.
Please share your NP.
Please mention your preferred location.
Experience:
Generative AI: 8 years (Required)
Python , Deep Learning and Machine Learning ?: 8 years (Required)",,Optum,India,,,,,,
Senior Machine Learning Engineer,₹8L – ₹10L/yr (Glassdoor est.),"If you need assistance during the recruiting process due to a disability, please reach out to our Recruiting Accommodations Team through the Accommodation Request form. This form is used only by individuals with disabilities who require assistance or adjustments in applying and interviewing for a job. This form is not for inquiring about a position or the status of an application.
Senior Machine Learning Engineer
Are you fascinated by machine learning and building robust machine learning pipelines which process massive amounts of data at scale and speed to provide crucial insights to the end consumers?
This is exactly what we, the Machine Learning Engineering group in Expedia, do. Our mission is to partner with our Machine Learning Science counterparts to use AI/ML to collaboratively transform Expedia’s data assets into intelligent and real-time insights to support a variety of applications which are used by 1000+ market managers, analysts, our supply partners, and our travelers. Our work spans across a variety of datasets and ML models and across a diverse technology stack ranging from PySpark, Java/Scala, Spark, Airflow, Databricks, Kubernetes, AWS and much more!

Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age.",3.8,Expedia Partner Solutions,Gurgaon,10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
Data Scientist,₹9L – ₹10L/yr (Glassdoor est.),".
Purpose of the role
To use innovative data analytics and machine learning techniques to extract valuable insights from the bank's data reserves, leveraging these insights to inform strategic decision-making, improve operational efficiency, and drive innovation across the organisation.
Accountabilities
Identification, collection, extraction of data from various sources, including internal and external sources.
Performing data cleaning, wrangling, and transformation to ensure its quality and suitability for analysis.",3.9,Barclays,Chennai,10000+ Employees,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Python Data Scientist/Analyst,₹25L – ₹36L/yr (Employer est.),"Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 2 years of relevant experience as a data scientist
2+ years of data analysis experience and a desire to have a significant impact on the field of artificial intelligence
2+ years of experience working with Python programming.
Fluent in conversational and written English communication skills.
Contract Length: 6-12 months
Notice Period: 2 weeks
Work Hours: 5 hours overlap with PST time zone
Standard work hours are 8 AM PST - 4 PM PST.
Job Type: Full-time",,Excellent Opportunity,Remote,,,,,,
Python & Data Science Trainer,₹12T – ₹20T/mo (Employer est.),"Responsible for delivering workshops & training programs, module preparation, queries handling of students
Planning, Coordinating and Consulting on the new technologies
Understanding the architecture, feasibility study and giving technical presentation.
Designing new courses and programs for training students
Excellent understanding of data visualization, data storytelling, and how to think about data problems in a business context and solving them using Machine learning
Training of candidates in Machine Learning and Deep Learning algorithms
Training of candidates in tools like R / Python/Java for frontend & Backend tech.
Train the students in Python base packages as Numpy, Pandas, Scikit learn, Seaborn & MatplotLib",,IPCS Global solutions pvt ltd,India,,,,,,
Junior Data Scientist,₹4L/yr (Glassdoor est.),"About Innovecture:
Founded in 2007 under the leadership of CEO Shreyas Kamat, Innovecture LLC, began as a U.S.-based Information Technology and Management Consulting Company focusing on technology consulting and services. With international development centers located in Salt Lake City, USA, and Pune, India, Innovecture leverages its Global Agile Delivery Model to effectively deliver client projects within budget scope and project deadline. The primary focus of Innovecture is to provide a unique wealth of expertise and experience to the IT and Management Consulting realm by utilizing various technologies across multiple industry domains. Innovecture uses best-in-class design processes and top-quality talent to ensure the highest quality deliverables. With innovation embedded in its consulting and services approach, Innovecture will continue to deliver outstanding results for its Fortune 500 clients and employees.",4.6,Innovecture,Pune,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
